age,insured_sex,insured_education_level,insured_occupation,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,injury_claim,property_claim,vehicle_claim,fraud_reported
42,MALE,JD,transport-moving,Multi-vehicle Collision,Front Collision,Major Damage,Fire,20,11420,5710,51390,Y
42,MALE,PhD,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,16,6570,6570,45990,Y
39,FEMALE,MD,exec-managerial,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,6,13720,6860,61740,Y
31,FEMALE,High School,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,13800,13800,62100,Y
64,FEMALE,Associate,adm-clerical,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,0,3770,30160,N
30,MALE,MD,machine-op-inspct,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,12460,6230,49840,N
49,MALE,MD,other-service,Parked Car,0,Minor Damage,0,13,860,860,2580,N
42,FEMALE,Associate,prof-specialty,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,12420,6210,49680,Y
41,FEMALE,MD,armed-forces,Single Vehicle Collision,Front Collision,Total Loss,Other,7,6810,6810,47670,Y
41,FEMALE,Associate,sales,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,3010,0,27090,N
37,FEMALE,College,transport-moving,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7,9520,4760,42840,N
40,FEMALE,Associate,sales,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,9540,4770,28620,N
35,FEMALE,High School,transport-moving,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,11380,5690,34140,N
45,FEMALE,College,handlers-cleaners,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,14900,7450,67050,N
47,MALE,College,transport-moving,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,10860,10860,38010,N
39,FEMALE,JD,other-service,Vehicle Theft,0,Minor Damage,0,15,1240,1240,5580,N
38,FEMALE,PhD,handlers-cleaners,Single Vehicle Collision,Rear Collision,Major Damage,Fire,16,14440,7220,50540,Y
31,MALE,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,10160,10160,30480,N
40,FEMALE,Masters,exec-managerial,Vehicle Theft,0,Trivial Damage,0,10,660,1320,4620,N
29,MALE,Masters,other-service,Vehicle Theft,0,Minor Damage,Police,3,750,1500,5250,N
35,MALE,High School,exec-managerial,Vehicle Theft,0,Trivial Damage,0,13,1180,1180,4130,N
48,MALE,Masters,prof-specialty,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,16,5540,11080,44320,Y
41,MALE,High School,transport-moving,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,5830,11660,40810,N
34,FEMALE,Associate,priv-house-serv,Multi-vehicle Collision,Front Collision,Minor Damage,Other,9,11400,11400,45600,N
32,FEMALE,MD,other-service,Single Vehicle Collision,Side Collision,Total Loss,Fire,2,11680,11680,40880,N
36,FEMALE,College,prof-specialty,Parked Car,0,Trivial Damage,0,9,940,470,3290,N
25,FEMALE,College,exec-managerial,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,0,5640,39480,Y
29,FEMALE,High School,sales,Multi-vehicle Collision,Front Collision,Total Loss,Fire,12,10300,10300,46350,N
23,FEMALE,Associate,tech-support,Single Vehicle Collision,Side Collision,Major Damage,Police,14,8940,17880,71520,Y
42,MALE,PhD,farming-fishing,Parked Car,0,Trivial Damage,0,9,590,590,4720,N
43,FEMALE,MD,exec-managerial,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,5890,11780,53010,N
42,FEMALE,High School,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,17040,8520,68160,N
25,FEMALE,PhD,armed-forces,Vehicle Theft,0,Minor Damage,0,5,1260,630,5040,N
47,FEMALE,Associate,protective-serv,Single Vehicle Collision,Side Collision,Major Damage,Fire,11,6630,6630,59670,Y
25,MALE,Masters,farming-fishing,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,4,7210,7210,50470,Y
48,FEMALE,College,machine-op-inspct,Parked Car,0,Trivial Damage,0,6,900,900,3600,N
42,MALE,College,exec-managerial,Vehicle Theft,0,Trivial Damage,0,10,700,700,4200,N
41,FEMALE,College,protective-serv,Single Vehicle Collision,Rear Collision,Minor Damage,Police,23,15860,15860,47580,N
27,FEMALE,College,tech-support,Single Vehicle Collision,Side Collision,Major Damage,Police,13,10560,5280,36960,N
41,FEMALE,JD,prof-specialty,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,0,3600,25200,N
33,FEMALE,Associate,tech-support,Parked Car,0,Minor Damage,Police,3,330,330,2310,N
54,MALE,College,other-service,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,15580,7790,70110,N
49,MALE,College,prof-specialty,Vehicle Theft,0,Minor Damage,0,4,480,480,3360,N
61,FEMALE,Associate,prof-specialty,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,6650,19950,53200,Y
28,FEMALE,High School,handlers-cleaners,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,22,7420,14840,51940,N
47,FEMALE,PhD,machine-op-inspct,Single Vehicle Collision,Front Collision,Major Damage,Fire,1,10860,10860,48870,Y
31,FEMALE,Masters,sales,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,5540,11080,44320,Y
42,FEMALE,College,prof-specialty,Single Vehicle Collision,Rear Collision,Minor Damage,Police,18,7470,14940,52290,N
60,MALE,PhD,craft-repair,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,14000,7000,49000,Y
41,MALE,High School,exec-managerial,Multi-vehicle Collision,Rear Collision,Total Loss,Other,12,14740,14740,51590,N
32,MALE,MD,protective-serv,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,14430,9620,33670,N
51,MALE,Associate,armed-forces,Vehicle Theft,0,Minor Damage,0,9,1180,1180,4720,N
46,MALE,MD,machine-op-inspct,Multi-vehicle Collision,Side Collision,Total Loss,Other,14,4770,9540,33390,Y
31,FEMALE,PhD,machine-op-inspct,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,9320,9320,32620,N
41,MALE,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Major Damage,Police,20,6400,12800,51200,Y
38,FEMALE,PhD,transport-moving,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,4,18000,9000,63000,N
39,FEMALE,Associate,adm-clerical,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,13240,6620,52960,N
41,MALE,High School,priv-house-serv,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,13860,13860,41580,N
36,FEMALE,MD,other-service,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,12760,12760,51040,Y
38,FEMALE,Masters,other-service,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,7,0,6160,49280,Y
25,FEMALE,College,prof-specialty,Multi-vehicle Collision,Front Collision,Total Loss,Other,0,8570,17140,51420,N
35,FEMALE,JD,prof-specialty,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,7000,7000,28000,N
39,MALE,JD,craft-repair,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,12,3300,9900,23100,N
38,MALE,MD,protective-serv,Single Vehicle Collision,Side Collision,Total Loss,Other,8,5760,5760,28800,N
32,FEMALE,High School,tech-support,Parked Car,0,Minor Damage,Police,9,330,660,2970,N
43,MALE,College,farming-fishing,Single Vehicle Collision,Front Collision,Major Damage,Fire,22,10640,10640,42560,Y
28,FEMALE,Masters,sales,Multi-vehicle Collision,Front Collision,Major Damage,Fire,0,4970,4970,34790,Y
45,MALE,JD,machine-op-inspct,Multi-vehicle Collision,Front Collision,Minor Damage,Other,0,14120,14120,56480,N
39,MALE,Masters,adm-clerical,Multi-vehicle Collision,Front Collision,Major Damage,Other,3,6150,12300,43050,N
27,FEMALE,Masters,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,21,8500,8500,34000,N
33,FEMALE,High School,machine-op-inspct,Single Vehicle Collision,Side Collision,Total Loss,Police,0,4680,9360,32760,N
32,MALE,PhD,exec-managerial,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,16,17360,8680,52080,N
34,FEMALE,College,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,13840,6920,48440,Y
40,FEMALE,High School,sales,Vehicle Theft,0,Minor Damage,Police,9,410,410,2870,N
28,FEMALE,PhD,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,9,6550,6550,52400,N
46,FEMALE,High School,prof-specialty,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,21,13840,6920,55360,N
32,FEMALE,MD,other-service,Multi-vehicle Collision,Front Collision,Total Loss,Other,19,12260,12260,49040,N
35,MALE,Masters,machine-op-inspct,Single Vehicle Collision,Rear Collision,Total Loss,Police,2,9460,4730,37840,N
41,MALE,Masters,transport-moving,Vehicle Theft,0,Trivial Damage,0,9,470,940,3760,N
34,MALE,PhD,machine-op-inspct,Parked Car,0,Minor Damage,0,5,1890,1260,5040,N
29,MALE,MD,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,14,7080,14160,49560,Y
31,FEMALE,JD,farming-fishing,Multi-vehicle Collision,Rear Collision,Total Loss,Police,20,5070,5070,35490,N
58,FEMALE,Associate,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,Police,18,7640,15280,76400,Y
41,MALE,Masters,tech-support,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,12800,6400,44800,Y
38,FEMALE,MD,other-service,Single Vehicle Collision,Front Collision,Minor Damage,Fire,21,4730,4730,37840,N
27,MALE,PhD,adm-clerical,Single Vehicle Collision,Rear Collision,Major Damage,Other,14,8960,8960,53760,Y
41,FEMALE,JD,craft-repair,Single Vehicle Collision,Side Collision,Major Damage,Other,1,17280,17280,77760,Y
32,FEMALE,PhD,farming-fishing,Single Vehicle Collision,Side Collision,Total Loss,Other,17,7520,15040,60160,N
45,MALE,Masters,priv-house-serv,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,4,10680,5340,32040,N
32,MALE,High School,exec-managerial,Multi-vehicle Collision,Rear Collision,Total Loss,Police,23,9780,9780,44010,Y
54,FEMALE,Masters,craft-repair,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,10540,10540,42160,N
33,FEMALE,Masters,other-service,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,20,9040,9040,36160,Y
50,MALE,Associate,sales,Single Vehicle Collision,Front Collision,Major Damage,Police,16,0,0,37280,Y
61,MALE,JD,exec-managerial,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,7210,14420,50470,N
59,FEMALE,JD,prof-specialty,Parked Car,0,Minor Damage,0,8,1300,650,4550,N
38,MALE,Masters,machine-op-inspct,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,13040,13040,52160,N
29,FEMALE,JD,transport-moving,Vehicle Theft,0,Minor Damage,Police,9,1240,620,4340,N
36,FEMALE,Associate,priv-house-serv,Parked Car,0,Minor Damage,Police,0,560,1680,3920,N
48,FEMALE,MD,farming-fishing,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,12,11700,11700,52650,N
48,FEMALE,MD,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,20,13240,13240,59580,N
30,FEMALE,Masters,prof-specialty,Single Vehicle Collision,Front Collision,Major Damage,Fire,3,10790,21580,75530,Y
34,FEMALE,Masters,prof-specialty,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,18180,18180,63630,N
29,FEMALE,PhD,armed-forces,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,11160,5580,44640,N
28,FEMALE,Associate,craft-repair,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,12960,12960,45360,Y
45,MALE,High School,farming-fishing,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,18,12800,6400,44800,N
46,FEMALE,Masters,machine-op-inspct,Parked Car,0,Trivial Damage,Police,7,660,660,4620,N
37,MALE,High School,other-service,Parked Car,0,Minor Damage,0,18,670,670,5360,N
42,MALE,Associate,armed-forces,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,11940,7960,31840,N
28,MALE,High School,machine-op-inspct,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,6700,6700,40200,Y
29,MALE,College,protective-serv,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,4990,4990,34930,N
31,FEMALE,MD,transport-moving,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,11100,7400,29600,N
44,FEMALE,PhD,farming-fishing,Vehicle Theft,0,Trivial Damage,0,3,610,1220,4270,N
46,MALE,MD,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,15920,15920,47760,N
34,MALE,Masters,protective-serv,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,1,8560,8560,59920,N
45,FEMALE,PhD,prof-specialty,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,11380,11380,39830,N
40,FEMALE,Masters,armed-forces,Single Vehicle Collision,Front Collision,Total Loss,Other,0,13100,13100,58950,N
39,MALE,MD,tech-support,Vehicle Theft,0,Trivial Damage,0,1,450,900,3600,N
36,MALE,Associate,handlers-cleaners,Multi-vehicle Collision,Side Collision,Major Damage,Fire,17,10220,5110,35770,N
54,FEMALE,Masters,adm-clerical,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,16800,16800,67200,N
27,FEMALE,Masters,tech-support,Single Vehicle Collision,Side Collision,Total Loss,Police,12,16540,16540,57890,N
26,MALE,JD,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,Police,11,14880,7440,59520,Y
46,MALE,Masters,craft-repair,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,18,5490,5490,43920,N
35,MALE,JD,tech-support,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,8060,16120,64480,Y
34,FEMALE,JD,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,2250,2250,13500,N
39,FEMALE,JD,protective-serv,Vehicle Theft,0,Minor Damage,Police,9,1100,550,3850,N
25,FEMALE,High School,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,Other,11,13440,6720,53760,Y
28,FEMALE,High School,adm-clerical,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,18520,18520,64820,N
57,MALE,Associate,tech-support,Parked Car,0,Minor Damage,0,8,980,980,3430,N
39,MALE,JD,farming-fishing,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,5610,5610,39270,N
47,FEMALE,MD,handlers-cleaners,Single Vehicle Collision,Front Collision,Total Loss,Police,13,5550,11100,38850,N
32,MALE,High School,other-service,Vehicle Theft,0,Minor Damage,Police,8,1280,640,5120,N
26,MALE,MD,farming-fishing,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,5020,0,35140,N
44,MALE,High School,handlers-cleaners,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,6960,6960,41760,N
36,MALE,MD,armed-forces,Vehicle Theft,0,Trivial Damage,Police,3,530,530,4240,Y
43,FEMALE,MD,adm-clerical,Parked Car,0,Trivial Damage,0,6,650,650,3900,N
48,MALE,Masters,armed-forces,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,17,5940,11880,41580,N
43,FEMALE,College,sales,Vehicle Theft,0,Minor Damage,Police,7,280,280,1960,N
31,MALE,PhD,craft-repair,Vehicle Theft,0,Trivial Damage,Police,9,960,960,3840,N
49,MALE,PhD,transport-moving,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,7670,7670,61360,N
39,FEMALE,High School,protective-serv,Parked Car,0,Trivial Damage,Police,6,740,740,4440,N
62,MALE,PhD,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,7,7150,7150,50050,N
39,MALE,JD,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,4240,2120,12720,N
43,FEMALE,Masters,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,5440,5440,43520,N
32,FEMALE,College,sales,Single Vehicle Collision,Rear Collision,Total Loss,Fire,0,5980,5980,47840,Y
29,MALE,Masters,handlers-cleaners,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,7200,7200,57600,N
48,MALE,JD,adm-clerical,Multi-vehicle Collision,Side Collision,Total Loss,Police,13,7230,14460,43380,N
53,MALE,Associate,sales,Parked Car,0,Trivial Damage,Police,8,1760,880,6160,N
24,FEMALE,High School,handlers-cleaners,Vehicle Theft,0,Minor Damage,Police,7,1020,1020,4080,N
37,MALE,High School,priv-house-serv,Vehicle Theft,0,Trivial Damage,0,9,1180,590,5310,N
50,MALE,High School,sales,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,12,8580,4290,21450,N
40,FEMALE,MD,prof-specialty,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,9720,9720,34020,Y
33,FEMALE,JD,exec-managerial,Single Vehicle Collision,Side Collision,Total Loss,Other,11,6780,13560,61020,Y
43,MALE,PhD,craft-repair,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,5,7370,14740,58960,Y
26,FEMALE,High School,machine-op-inspct,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,5260,10520,47340,N
28,MALE,Masters,transport-moving,Vehicle Theft,0,Trivial Damage,0,17,1440,720,5040,N
46,FEMALE,MD,prof-specialty,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,12780,6390,51120,Y
43,MALE,College,priv-house-serv,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,9260,9260,41670,N
44,MALE,College,farming-fishing,Single Vehicle Collision,Front Collision,Major Damage,Other,18,11160,5580,44640,Y
49,FEMALE,College,other-service,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,2810,5620,19670,N
50,FEMALE,High School,sales,Single Vehicle Collision,Side Collision,Total Loss,Fire,19,8920,8920,31220,N
50,MALE,Associate,sales,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,6340,6340,44380,N
38,FEMALE,Associate,tech-support,Multi-vehicle Collision,Side Collision,Major Damage,Fire,23,12980,12980,51920,N
41,MALE,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4,7350,14700,51450,N
52,FEMALE,High School,other-service,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,2,6840,13680,68400,N
52,FEMALE,Associate,prof-specialty,Single Vehicle Collision,Front Collision,Major Damage,Other,2,12990,4330,30310,Y
53,FEMALE,MD,craft-repair,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,6560,6560,45920,N
37,FEMALE,MD,farming-fishing,Single Vehicle Collision,Rear Collision,Minor Damage,Other,2,14460,7230,57840,N
34,FEMALE,High School,machine-op-inspct,Single Vehicle Collision,Side Collision,Total Loss,Other,18,4880,4880,43920,N
46,MALE,JD,prof-specialty,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,3050,6100,24400,N
42,FEMALE,Masters,machine-op-inspct,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,6910,6910,55280,N
35,MALE,MD,handlers-cleaners,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,14500,14500,50750,N
28,MALE,JD,farming-fishing,Multi-vehicle Collision,Front Collision,Major Damage,Other,10,5360,10720,37520,Y
54,MALE,Masters,transport-moving,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,16,12760,6380,57420,N
32,MALE,JD,craft-repair,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,4570,4570,31990,N
26,MALE,MD,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,14300,7150,57200,Y
41,FEMALE,Associate,farming-fishing,Single Vehicle Collision,Side Collision,Major Damage,Other,19,6460,12920,51680,N
37,FEMALE,Masters,farming-fishing,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,3530,3530,31770,N
43,FEMALE,MD,armed-forces,Single Vehicle Collision,Front Collision,Major Damage,Fire,16,5350,5350,42800,N
38,FEMALE,College,adm-clerical,Single Vehicle Collision,Front Collision,Major Damage,Other,20,7370,7370,58960,Y
40,FEMALE,JD,exec-managerial,Parked Car,0,Trivial Damage,0,10,630,630,5040,N
36,FEMALE,College,tech-support,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,10900,10900,43600,N
28,MALE,Associate,armed-forces,Vehicle Theft,0,Trivial Damage,0,3,640,320,2240,N
51,FEMALE,Associate,tech-support,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,7540,15080,52780,Y
